"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://knightlogics.com/","1","Knight Logics Custom Websites & Local SEO","41","Indexable",""
"https://knightlogics.com/case-study-screen-team","1","Growth System — Screen Team LLC","31","Indexable",""
"https://knightlogics.com/pricing","1","Tampa Bay Web Design, Local SEO & Automation Pricing","52","Non-Indexable","noindex"
"https://knightlogics.com/pixelforge-ai","1","PixelForge AI","13","Indexable",""
"https://knightlogics.com/service-desktop-apps","1","Desktop Applications & Custom Software","38","Indexable",""
"https://knightlogics.com/case-study-jns","1","Local Launch Plus — JNS Construction","36","Indexable",""
"https://knightlogics.com/case-study-knight-group","1","Growth System — Knight Group","28","Indexable",""
"https://knightlogics.com/service-websites","1","Custom Websites That Rank & Convert","35","Indexable",""
"https://knightlogics.com/book-consultation","1","Book a Consultation With Knight Logics","38","Indexable",""
"https://knightlogics.com/videoforge","1","VideoForge Studio","17","Indexable",""
"https://knightlogics.com/service-ai-automation","1","Automation, APIs & Internal Tools","33","Indexable",""
"https://knightlogics.com/contact","1","Contact Knight Logics — Tampa Bay Web Design & SEO","50","Indexable",""
"https://knightlogics.com/case-study-moms-resin-tables","1","E-Commerce Launch — Mom's Resin Tables","38","Indexable",""
"https://knightlogics.com/display-control-plus","1","Display Control+","16","Indexable",""
"https://knightlogics.com/service-ecommerce","1","E-Commerce & Data Systems","25","Indexable",""
"https://knightlogics.com/auto-vid-compiler","1","Auto Vid Compiler","17","Indexable",""
"https://knightlogics.com/case-study-sals-painting","1","Search-Ready Starter — Sal's Painting & Basic Renovations","57","Indexable",""
"https://knightlogics.com/case-study-farrell-electric","1","Preview Launch Site — Farrell Electric","38","Indexable",""
"https://knightlogics.com/?openPackage=ecommerce-growth-store","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-launch-plus","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-pro","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-growth-management","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-growth-system-starter","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-custom-automation-system","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-standard","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-launch","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation-plus","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-essential","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-seo-starter","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-payment-links","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-local-seo-starter","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-simple-lead-tracker","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-job-records-system","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-advanced-system","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-plus","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-preview-launch","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-preview-catalog","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-automated-job-records","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-contractor-crm-starter","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-full-growth-system","1","Knight Logics Custom Websites & Local SEO","41","Non-Indexable","Canonicalised"
