business,code,ref_slug,url,qr_file
DVC Signs,DVC250,dvc-signs,https://knightlogics.com/ref/dvc-signs?offer=DVC250,dvc-signs--DVC250.png
Davidson Sign Services Inc,DAVID250,davidson-sign-services,https://knightlogics.com/ref/davidson-sign-services?offer=DAVID250,davidson-sign-services--DAVID250.png
FASTSIGNS Clearwater,FASTCLR250,fastsigns-clearwater,https://knightlogics.com/ref/fastsigns-clearwater?offer=FASTCLR250,fastsigns-clearwater--FASTCLR250.png
FASTSIGNS Largo,FASTLARGO250,fastsigns-largo,https://knightlogics.com/ref/fastsigns-largo?offer=FASTLARGO250,fastsigns-largo--FASTLARGO250.png
Sir Speedy Clearwater - Drew St,SIRDRW250,sir-speedy-clearwater-drew,https://knightlogics.com/ref/sir-speedy-clearwater-drew?offer=SIRDRW250,sir-speedy-clearwater-drew--SIRDRW250.png
Sir Speedy Clearwater - 142nd Ave,SIR142250,sir-speedy-clearwater-142nd,https://knightlogics.com/ref/sir-speedy-clearwater-142nd?offer=SIR142250,sir-speedy-clearwater-142nd--SIR142250.png
Minuteman Press Largo,MMPLARGO250,minuteman-press-largo,https://knightlogics.com/ref/minuteman-press-largo?offer=MMPLARGO250,minuteman-press-largo--MMPLARGO250.png
LDI Printing & Signs,LDI250,ldi-printing-signs,https://knightlogics.com/ref/ldi-printing-signs?offer=LDI250,ldi-printing-signs--LDI250.png
Minuteman Press Dunedin,MMPDUN250,minuteman-press-dunedin,https://knightlogics.com/ref/minuteman-press-dunedin?offer=MMPDUN250,minuteman-press-dunedin--MMPDUN250.png
The Print Shop Dunedin,TPSDUN250,print-shop-dunedin,https://knightlogics.com/ref/print-shop-dunedin?offer=TPSDUN250,print-shop-dunedin--TPSDUN250.png
FASTSIGNS Palm Harbor,FASTPH250,fastsigns-palm-harbor,https://knightlogics.com/ref/fastsigns-palm-harbor?offer=FASTPH250,fastsigns-palm-harbor--FASTPH250.png
Sir Speedy Palm Harbor,SIRPH250,sir-speedy-palm-harbor,https://knightlogics.com/ref/sir-speedy-palm-harbor?offer=SIRPH250,sir-speedy-palm-harbor--SIRPH250.png
Post Office Square,POSSH250,post-office-square,https://knightlogics.com/ref/post-office-square?offer=POSSH250,post-office-square--POSSH250.png
Prints2Go,P2GO250,prints2go,https://knightlogics.com/ref/prints2go?offer=P2GO250,prints2go--P2GO250.png
AE Printing and Graphics,AEPRINT250,ae-printing-graphics,https://knightlogics.com/ref/ae-printing-graphics?offer=AEPRINT250,ae-printing-graphics--AEPRINT250.png
